Transaction ID,Items Purchased
1,"citrus fruit, semi-finished bread, margarine, ready soups"
2,"tropical fruit, yogurt, coffee"
3,whole milk
4,"pip fruit, yogurt, cream cheese, meat spreads"
5,"other vegetables, whole milk, condensed milk, long life bakery product"
6,"whole milk, butter, yogurt, rice, abrasive cleaner"
7,rolls/buns
8,"other vegetables, UHT-milk, rolls/buns, bottled beer, liquor (appetizer)"
9,pot plants
10,"whole milk, cereals"
11,"tropical fruit, other vegetables, white bread, bottled water, chocolate"
12,"citrus fruit, tropical fruit, whole milk, butter, curd, yogurt, flour, bottled water, dishes"
13,beef
14,"frankfurter, rolls/buns, soda"
15,"chicken, tropical fruit"
16,"butter, sugar, fruit/vegetable juice, newspapers"
17,fruit/vegetable juice
18,packaged fruit/vegetables
19,chocolate
20,specialty bar
21,other vegetables
22,"butter milk, pastry"
23,whole milk
24,"tropical fruit, cream cheese, processed cheese, detergent, newspapers"
25,"tropical fruit, root vegetables, other vegetables, frozen dessert, rolls/buns, flour, sweet spreads, salty snack, waffles, candy, bathroom cleaner"
26,"bottled water, canned beer"
27,yogurt
28,"sausage, rolls/buns, soda, chocolate"
29,other vegetables
30,"brown bread, soda, fruit/vegetable juice, canned beer, newspapers, shopping bags"
